dteday,hr,workingday,cnt,temp,season,weathersit
2011-01-05,2,1,2,0.16,Spring,1
2011-01-05,4,1,2,0.24,Spring,1
2011-01-05,5,1,3,0.22,Spring,1
2011-01-05,6,1,33,0.2,Spring,1
2011-01-05,7,1,88,0.18,Spring,1
2011-01-05,8,1,195,0.2,Spring,1
2011-01-05,9,1,115,0.22,Spring,1
2011-01-05,10,1,57,0.22,Spring,1
2011-01-05,11,1,46,0.26,Spring,1
2011-01-05,12,1,79,0.26,Spring,1
2011-01-05,13,1,71,0.28,Spring,1
2011-01-05,14,1,62,0.3,Spring,1
2011-01-05,15,1,62,0.3,Spring,1
2011-01-05,16,1,89,0.3,Spring,1
2011-01-05,17,1,190,0.24,Spring,1
2011-01-05,18,1,169,0.24,Spring,1
2011-01-05,19,1,132,0.24,Spring,1
2011-01-05,20,1,89,0.22,Spring,1
2011-01-05,21,1,43,0.2,Spring,1
2011-01-05,22,1,42,0.18,Spring,1
2011-01-05,23,1,19,0.2,Spring,1
2011-01-06,0,1,11,0.18,Spring,1
2011-01-06,1,1,4,0.16,Spring,1
2011-01-06,2,1,2,0.16,Spring,1
2011-01-06,4,1,1,0.16,Spring,1
2011-01-06,5,1,4,0.14,Spring,1
2011-01-06,6,1,36,0.14,Spring,1
2011-01-06,7,1,95,0.16,Spring,1
2011-01-06,8,1,219,0.16,Spring,1
2011-01-06,9,1,122,0.18,Spring,1
2011-01-06,10,1,45,0.2,Spring,1
2011-01-06,11,1,59,0.22,Spring,1
2011-01-06,12,1,84,0.26,Spring,1
2011-01-06,13,1,67,0.26,Spring,1
2011-01-06,14,1,70,0.28,Spring,1
2011-01-06,15,1,62,0.28,Spring,1
2011-01-06,16,1,86,0.26,Spring,1
2011-01-06,17,1,172,0.22,Spring,1
2011-01-06,18,1,163,0.22,Spring,1
2011-01-06,19,1,112,0.22,Spring,1
2011-01-06,20,1,69,0.2,Spring,1
2011-01-06,21,1,48,0.22,Spring,1
2011-01-06,22,1,52,0.22,Spring,1
2011-01-06,23,1,23,0.2,Spring,1
2011-01-07,0,1,17,0.2,Spring,2
2011-01-07,1,1,7,0.2,Spring,2
2011-01-07,2,1,1,0.2,Spring,2
2011-01-07,4,1,1,0.2,Spring,2
2011-01-07,5,1,5,0.22,Spring,2
2011-01-07,6,1,34,0.2,Spring,2
2011-01-07,7,1,84,0.2,Spring,2
2011-01-07,8,1,210,0.2,Spring,2
2011-01-07,9,1,134,0.2,Spring,2
2011-01-07,10,1,63,0.22,Spring,2
2011-01-07,11,1,67,0.2,Spring,2
2011-01-07,12,1,59,0.2,Spring,2
2011-01-07,13,1,73,0.2,Spring,2
2011-01-07,14,1,50,0.2,Spring,2
2011-01-07,15,1,72,0.2,Spring,2
2011-01-07,16,1,87,0.2,Spring,2
2011-01-07,17,1,187,0.2,Spring,2
2011-01-07,18,1,123,0.2,Spring,2
2011-01-07,19,1,95,0.16,Spring,2
2011-01-07,20,1,51,0.18,Spring,2
2011-01-07,21,1,39,0.18,Spring,2
2011-01-07,22,1,36,0.18,Spring,2
2011-01-07,23,1,15,0.18,Spring,2
2011-01-08,0,0,25,0.18,Spring,2
2011-01-08,1,0,16,0.18,Spring,2
2011-01-08,2,0,16,0.18,Spring,2
2011-01-08,3,0,7,0.18,Spring,2
2011-01-08,4,0,1,0.18,Spring,2
2011-01-08,5,0,5,0.16,Spring,2
2011-01-08,6,0,2,0.16,Spring,2
2011-01-08,7,0,9,0.16,Spring,2
2011-01-08,8,0,15,0.16,Spring,2
2011-01-08,9,0,20,0.16,Spring,2
2011-01-08,10,0,61,0.18,Spring,2
2011-01-08,11,0,62,0.2,Spring,2
2011-01-08,12,0,98,0.2,Spring,2
2011-01-08,13,0,102,0.2,Spring,2
2011-01-08,14,0,95,0.2,Spring,2
2011-01-08,15,0,74,0.2,Spring,2
2011-01-08,16,0,76,0.18,Spring,2
2011-01-08,17,0,69,0.16,Spring,2
2011-01-08,18,0,55,0.14,Spring,2
2011-01-08,19,0,30,0.14,Spring,2
2011-01-08,20,0,28,0.12,Spring,2
2011-01-08,21,0,37,0.12,Spring,2
2011-01-08,22,0,34,0.12,Spring,2
2011-01-08,23,0,22,0.1,Spring,2
2011-01-09,0,0,25,0.1,Spring,1
2011-01-09,1,0,12,0.1,Spring,1
2011-01-09,2,0,11,0.1,Spring,1
2011-01-09,3,0,4,0.1,Spring,1
2011-01-09,4,0,1,0.08,Spring,1
2011-01-09,5,0,1,0.08,Spring,1
2011-01-09,6,0,1,0.1,Spring,1
2011-01-09,7,0,6,0.08,Spring,1
2011-01-09,8,0,10,0.1,Spring,1
2011-01-09,9,0,19,0.12,Spring,1
2011-01-09,10,0,49,0.14,Spring,1
2011-01-09,11,0,49,0.16,Spring,1
2011-01-09,12,0,83,0.18,Spring,1
2011-01-09,13,0,75,0.2,Spring,1
2011-01-09,14,0,72,0.22,Spring,1
2011-01-09,15,0,82,0.22,Spring,1
2011-01-09,16,0,92,0.2,Spring,1
2011-01-09,17,0,62,0.18,Spring,1
2011-01-09,18,0,48,0.16,Spring,1
2011-01-09,19,0,41,0.16,Spring,1
2011-01-09,20,0,38,0.14,Spring,1
2011-01-09,21,0,20,0.14,Spring,1
2011-01-09,22,0,15,0.14,Spring,1
2011-01-09,23,0,6,0.12,Spring,1
2011-01-10,0,1,5,0.12,Spring,1
2011-01-10,1,1,1,0.12,Spring,1
2011-01-10,2,1,3,0.12,Spring,1
2011-01-10,3,1,1,0.12,Spring,1
2011-01-10,4,1,3,0.1,Spring,1
2011-01-10,5,1,3,0.1,Spring,1
2011-01-10,6,1,31,0.12,Spring,1
2011-01-10,7,1,77,0.12,Spring,1
2011-01-10,8,1,188,0.12,Spring,1
2011-01-10,9,1,94,0.14,Spring,1
2011-01-10,10,1,31,0.14,Spring,1
2011-01-10,11,1,30,0.16,Spring,1
2011-01-10,12,1,52,0.2,Spring,1
2011-01-10,13,1,54,0.2,Spring,1
2011-01-10,14,1,47,0.2,Spring,1
2011-01-10,15,1,45,0.2,Spring,1
2011-01-10,16,1,74,0.2,Spring,1
2011-01-10,17,1,178,0.2,Spring,1
2011-01-10,18,1,155,0.2,Spring,1
2011-01-10,19,1,95,0.16,Spring,1
2011-01-10,20,1,74,0.16,Spring,1
2011-01-10,21,1,38,0.14,Spring,1
2011-01-10,22,1,24,0.14,Spring,1
2011-01-10,23,1,18,0.14,Spring,1
2011-01-11,0,1,12,0.14,Spring,2
2011-01-11,1,1,3,0.14,Spring,2
2011-01-11,2,1,3,0.16,Spring,2
2011-01-11,5,1,6,0.16,Spring,2
2011-01-11,6,1,27,0.16,Spring,2
2011-01-11,7,1,99,0.16,Spring,2
2011-01-11,8,1,217,0.18,Spring,2
2011-01-11,9,1,130,0.18,Spring,2
2011-01-11,10,1,54,0.2,Spring,2
2011-01-11,11,1,35,0.2,Spring,2
2011-01-11,12,1,57,0.2,Spring,2
2011-01-11,13,1,52,0.2,Spring,2
2011-01-11,14,1,63,0.2,Spring,2
2011-01-11,15,1,47,0.16,Spring,2
2011-01-11,16,1,76,0.16,Spring,2
2011-01-11,17,1,136,0.16,Spring,2
2011-01-11,18,1,95,0.16,Spring,2
2011-01-11,19,1,51,0.16,Spring,2
2011-01-11,20,1,32,0.16,Spring,2
2011-01-11,21,1,20,0.16,Spring,2
2011-01-11,22,1,29,0.16,Spring,2
2011-01-11,23,1,19,0.16,Spring,2
2011-01-12,0,1,7,0.16,Spring,1
2011-01-12,1,1,6,0.16,Spring,1
2011-01-12,2,1,1,0.14,Spring,1
2011-01-12,5,1,5,0.14,Spring,1
2011-01-12,6,1,16,0.12,Spring,1
2011-01-12,7,1,54,0.14,Spring,1
2011-01-12,8,1,128,0.16,Spring,1
2011-01-12,9,1,81,0.16,Spring,1
2011-01-12,10,1,39,0.18,Spring,1
2011-01-12,11,1,35,0.2,Spring,1
2011-01-12,12,1,55,0.2,Spring,1
2011-01-12,13,1,49,0.22,Spring,1
2011-01-12,14,1,44,0.2,Spring,1
2011-01-12,15,1,49,0.2,Spring,1
2011-01-12,16,1,68,0.22,Spring,1
2011-01-12,17,1,139,0.2,Spring,1
2011-01-12,18,1,137,0.2,Spring,1
2011-01-12,19,1,83,0.18,Spring,1
2011-01-12,20,1,56,0.16,Spring,1
2011-01-12,21,1,57,0.16,Spring,1
2011-01-12,22,1,33,0.16,Spring,1
2011-01-12,23,1,20,0.14,Spring,1
2011-01-13,0,1,7,0.14,Spring,1
2011-01-13,1,1,2,0.14,Spring,1
2011-01-13,2,1,2,0.14,Spring,1
2011-01-13,3,1,3,0.14,Spring,1
2011-01-13,4,1,4,0.14,Spring,1
2011-01-13,5,1,3,0.14,Spring,1
2011-01-13,6,1,28,0.12,Spring,1
2011-01-13,7,1,72,0.12,Spring,1
2011-01-13,8,1,202,0.14,Spring,1
2011-01-13,9,1,139,0.14,Spring,1
2011-01-13,10,1,38,0.16,Spring,1
2011-01-13,11,1,37,0.2,Spring,1
2011-01-13,12,1,52,0.2,Spring,1
2011-01-13,13,1,83,0.22,Spring,1
2011-01-13,14,1,42,0.22,Spring,1
2011-01-13,15,1,60,0.24,Spring,1
2011-01-13,16,1,78,0.24,Spring,1
2011-01-13,17,1,162,0.2,Spring,1
2011-01-13,18,1,144,0.2,Spring,1
2011-01-13,19,1,99,0.16,Spring,1
2011-01-13,20,1,64,0.16,Spring,1
2011-01-13,21,1,40,0.14,Spring,1
2011-01-13,22,1,30,0.14,Spring,1
2011-01-13,23,1,15,0.12,Spring,1
2011-01-14,0,1,14,0.12,Spring,1
2011-01-14,1,1,5,0.1,Spring,1
2011-01-14,2,1,1,0.1,Spring,1
2011-01-14,3,1,1,0.1,Spring,1
2011-01-14,5,1,8,0.1,Spring,1
2011-01-14,6,1,17,0.1,Spring,1
2011-01-14,7,1,70,0.1,Spring,1
2011-01-14,8,1,158,0.12,Spring,1
2011-01-14,9,1,117,0.14,Spring,1
2011-01-14,10,1,44,0.18,Spring,1
2011-01-14,11,1,53,0.18,Spring,1
2011-01-14,12,1,61,0.2,Spring,1
2011-01-14,13,1,77,0.22,Spring,1
2011-01-14,14,1,64,0.22,Spring,1
2011-01-14,15,1,68,0.24,Spring,1
2011-01-14,16,1,90,0.22,Spring,1
2011-01-14,17,1,159,0.22,Spring,1
2011-01-14,18,1,139,0.2,Spring,1
2011-01-14,19,1,92,0.16,Spring,1
2011-01-14,20,1,68,0.18,Spring,1
2011-01-14,21,1,52,0.16,Spring,1
2011-01-14,22,1,36,0.16,Spring,1
2011-01-14,23,1,27,0.18,Spring,1
2011-01-15,0,0,28,0.18,Spring,2
2011-01-15,1,0,20,0.16,Spring,2
2011-01-15,2,0,12,0.16,Spring,2
2011-01-15,3,0,8,0.16,Spring,2
2011-01-15,4,0,5,0.16,Spring,2
2011-01-15,5,0,1,0.16,Spring,2
2011-01-15,6,0,3,0.14,Spring,2
2011-01-15,7,0,10,0.14,Spring,2
2011-01-15,8,0,23,0.14,Spring,2
2011-01-15,9,0,33,0.16,Spring,2
2011-01-15,10,0,59,0.18,Spring,2
2011-01-15,11,0,72,0.2,Spring,2
2011-01-15,12,0,89,0.24,Spring,2
2011-01-15,13,0,101,0.28,Spring,2
2011-01-15,14,0,118,0.3,Spring,2
2011-01-15,15,0,129,0.32,Spring,2
2011-01-15,16,0,128,0.34,Spring,2
2011-01-15,17,0,83,0.32,Spring,2
2011-01-15,18,0,84,0.3,Spring,2
2011-01-15,19,0,74,0.32,Spring,2
2011-01-15,20,0,41,0.32,Spring,2
2011-01-15,21,0,57,0.32,Spring,2
2011-01-15,22,0,26,0.3,Spring,2
2011-01-15,23,0,44,0.3,Spring,2
2011-01-16,0,0,39,0.26,Spring,1
2011-01-16,1,0,23,0.26,Spring,1
2011-01-16,2,0,16,0.26,Spring,1
2011-01-16,3,0,15,0.22,Spring,1
2011-01-16,4,0,1,0.26,Spring,1
2011-01-16,5,0,2,0.26,Spring,1
2011-01-16,6,0,1,0.26,Spring,1
2011-01-16,7,0,3,0.24,Spring,1
2011-01-16,8,0,18,0.22,Spring,1
2011-01-16,9,0,32,0.22,Spring,1
2011-01-16,10,0,79,0.22,Spring,1
2011-01-16,11,0,93,0.24,Spring,1
2011-01-16,12,0,104,0.24,Spring,1
2011-01-16,13,0,118,0.26,Spring,1
2011-01-16,14,0,91,0.28,Spring,1
2011-01-16,15,0,113,0.26,Spring,1
2011-01-16,16,0,99,0.24,Spring,1
2011-01-16,17,0,105,0.22,Spring,1
2011-01-16,18,0,67,0.2,Spring,1
2011-01-16,19,0,61,0.18,Spring,1
2011-01-16,20,0,57,0.18,Spring,1
2011-01-16,21,0,28,0.18,Spring,1
2011-01-16,22,0,21,0.2,Spring,1
2011-01-16,23,0,18,0.2,Spring,1
2011-01-17,0,0,17,0.2,Spring,2
2011-01-17,1,0,16,0.2,Spring,2
2011-01-17,2,0,8,0.18,Spring,2
2011-01-17,3,0,2,0.18,Spring,2
2011-01-17,4,0,3,0.18,Spring,2
2011-01-17,5,0,1,0.18,Spring,2
2011-01-17,6,0,5,0.18,Spring,2
2011-01-17,7,0,13,0.16,Spring,2
2011-01-17,8,0,33,0.16,Spring,2
2011-01-17,9,0,47,0.16,Spring,2
2011-01-17,10,0,57,0.16,Spring,2
2011-01-17,11,0,64,0.16,Spring,2
2011-01-17,12,0,80,0.18,Spring,2
2011-01-17,13,0,93,0.18,Spring,2
2011-01-17,14,0,86,0.18,Spring,2
2011-01-17,15,0,93,0.2,Spring,2
2011-01-17,16,0,82,0.2,Spring,2
2011-01-17,17,0,71,0.2,Spring,2
2011-01-17,18,0,92,0.18,Spring,2
2011-01-17,19,0,60,0.18,Spring,2
2011-01-17,20,0,33,0.16,Spring,2
2011-01-17,21,0,27,0.16,Spring,2
2011-01-17,22,0,13,0.14,Spring,2
2011-01-17,23,0,4,0.16,Spring,2
2011-01-18,12,1,3,0.2,Spring,2
2011-01-18,13,1,22,0.2,Spring,2
2011-01-18,14,1,28,0.22,Spring,2
2011-01-18,15,1,35,0.22,Spring,2
2011-01-18,16,1,61,0.22,Spring,2
2011-01-18,17,1,125,0.22,Spring,2
2011-01-18,18,1,133,0.22,Spring,2
2011-01-18,19,1,99,0.22,Spring,2
2011-01-18,20,1,83,0.22,Spring,2
2011-01-18,21,1,41,0.22,Spring,2
2011-01-18,22,1,33,0.22,Spring,2
2011-01-18,23,1,20,0.22,Spring,2
2011-01-19,0,1,3,0.22,Spring,2
2011-01-19,1,1,7,0.22,Spring,2
2011-01-19,2,1,3,0.22,Spring,2
2011-01-19,4,1,2,0.22,Spring,2
2011-01-19,5,1,7,0.22,Spring,2
2011-01-19,6,1,32,0.22,Spring,2
2011-01-19,7,1,90,0.24,Spring,2
2011-01-19,8,1,197,0.24,Spring,2
2011-01-19,9,1,109,0.24,Spring,2
2011-01-19,10,1,47,0.26,Spring,2
2011-01-19,11,1,52,0.28,Spring,2
2011-01-19,12,1,70,0.3,Spring,2
2011-01-19,13,1,78,0.4,Spring,2
2011-01-19,14,1,75,0.4,Spring,2
2011-01-19,15,1,82,0.4,Spring,2
2011-01-19,16,1,104,0.38,Spring,2
2011-01-19,17,1,197,0.36,Spring,2
2011-01-19,18,1,161,0.34,Spring,2
2011-01-19,19,1,112,0.32,Spring,2
2011-01-19,20,1,76,0.32,Spring,2
2011-01-19,21,1,59,0.32,Spring,2
2011-01-19,22,1,59,0.3,Spring,2
2011-01-19,23,1,28,0.3,Spring,2
2011-01-20,0,1,13,0.26,Spring,2
2011-01-20,1,1,5,0.26,Spring,2
2011-01-20,2,1,2,0.26,Spring,2
2011-01-20,3,1,1,0.26,Spring,2
2011-01-20,4,1,1,0.26,Spring,2
2011-01-20,5,1,6,0.24,Spring,2
2011-01-20,6,1,35,0.22,Spring,2
2011-01-20,7,1,101,0.22,Spring,2
2011-01-20,8,1,249,0.22,Spring,2
2011-01-20,9,1,143,0.24,Spring,2
2011-01-20,10,1,57,0.26,Spring,2
2011-01-20,11,1,68,0.28,Spring,2
2011-01-20,12,1,84,0.3,Spring,2
2011-01-20,13,1,98,0.28,Spring,2
2011-01-20,14,1,81,0.3,Spring,2
2011-01-20,15,1,70,0.32,Spring,2
2011-01-20,16,1,91,0.3,Spring,2
2011-01-20,17,1,215,0.3,Spring,2
2011-01-20,18,1,185,0.26,Spring,2
2011-01-20,19,1,152,0.26,Spring,2
2011-01-20,20,1,126,0.26,Spring,2
2011-01-20,21,1,57,0.24,Spring,2
2011-01-20,22,1,56,0.24,Spring,2
2011-01-20,23,1,31,0.24,Spring,2
2011-01-21,0,1,21,0.24,Spring,1
2011-01-21,1,1,6,0.24,Spring,1
2011-01-21,2,1,2,0.24,Spring,1
2011-01-21,3,1,1,0.22,Spring,1
2011-01-21,4,1,1,0.22,Spring,1
2011-01-21,5,1,5,0.24,Spring,1
2011-01-21,6,1,27,0.22,Spring,1
2011-01-21,7,1,68,0.2,Spring,1
2011-01-21,8,1,217,0.2,Spring,1
2011-01-21,9,1,166,0.2,Spring,1
2011-01-21,10,1,63,0.2,Spring,1
2011-01-21,11,1,59,0.22,Spring,1
2011-01-21,12,1,78,0.22,Spring,1
2011-01-21,13,1,73,0.2,Spring,1
2011-01-21,14,1,62,0.2,Spring,1
2011-01-21,15,1,65,0.16,Spring,1
2011-01-21,16,1,97,0.16,Spring,1
2011-01-21,17,1,161,0.14,Spring,1
2011-01-21,18,1,120,0.12,Spring,1
2011-01-21,19,1,96,0.12,Spring,1
2011-01-21,20,1,53,0.1,Spring,1
2011-01-21,21,1,41,0.08,Spring,1
2011-01-21,22,1,34,0.06,Spring,1
2011-01-21,23,1,27,0.06,Spring,1
2011-01-22,0,0,13,0.04,Spring,1
2011-01-22,1,0,12,0.04,Spring,1
2011-01-22,2,0,11,0.04,Spring,1
2011-01-22,3,0,7,0.04,Spring,1
2011-01-22,4,0,3,0.02,Spring,1
2011-01-22,6,0,2,0.02,Spring,1
2011-01-22,7,0,8,0.02,Spring,1
2011-01-22,8,0,27,0.02,Spring,1
2011-01-22,9,0,40,0.04,Spring,1
2011-01-22,10,0,53,0.04,Spring,1
2011-01-22,11,0,63,0.06,Spring,1
2011-01-22,12,0,70,0.06,Spring,1
2011-01-22,13,0,84,0.08,Spring,1
2011-01-22,14,0,75,0.1,Spring,1
2011-01-22,15,0,103,0.12,Spring,1
2011-01-22,16,0,83,0.12,Spring,1
2011-01-22,17,0,67,0.12,Spring,1
2011-01-22,18,0,54,0.08,Spring,1
2011-01-22,19,0,59,0.08,Spring,1
2011-01-22,20,0,45,0.06,Spring,1
2011-01-22,21,0,39,0.06,Spring,1
2011-01-22,22,0,30,0.06,Spring,1
2011-01-22,23,0,33,0.04,Spring,1
2011-01-23,0,0,22,0.04,Spring,1
2011-01-23,1,0,13,0.04,Spring,1
2011-01-23,2,0,18,0.02,Spring,1
2011-01-23,3,0,5,0.02,Spring,1
2011-01-23,5,0,3,0.04,Spring,1
2011-01-23,6,0,1,0.04,Spring,1
2011-01-23,7,0,2,0.08,Spring,1
2011-01-23,8,0,19,0.06,Spring,1
2011-01-23,9,0,28,0.1,Spring,1
2011-01-23,10,0,58,0.14,Spring,1
2011-01-23,11,0,99,0.14,Spring,1
2011-01-23,12,0,116,0.16,Spring,1
2011-01-23,13,0,87,0.14,Spring,1
2011-01-23,14,0,110,0.16,Spring,1
2011-01-23,15,0,77,0.16,Spring,1
2011-01-23,16,0,65,0.16,Spring,1
2011-01-23,17,0,55,0.14,Spring,1
2011-01-23,18,0,49,0.12,Spring,1
2011-01-23,19,0,50,0.12,Spring,1
2011-01-23,20,0,35,0.1,Spring,1
2011-01-23,21,0,25,0.1,Spring,1
2011-01-23,22,0,28,0.08,Spring,1
2011-01-23,23,0,21,0.06,Spring,1
2011-01-24,0,1,7,0.06,Spring,1
2011-01-24,1,1,1,0.04,Spring,1
2011-01-24,3,1,1,0.04,Spring,1
2011-01-24,4,1,1,0.02,Spring,1
2011-01-24,5,1,5,0.02,Spring,1
2011-01-24,6,1,15,0.02,Spring,1
2011-01-24,7,1,84,0.02,Spring,1
2011-01-24,8,1,177,0.04,Spring,1
2011-01-24,9,1,102,0.06,Spring,1
2011-01-24,10,1,40,0.1,Spring,1
2011-01-24,11,1,46,0.1,Spring,1
2011-01-24,12,1,63,0.12,Spring,1
2011-01-24,13,1,60,0.14,Spring,1
2011-01-24,14,1,45,0.14,Spring,1
2011-01-24,15,1,57,0.16,Spring,1
2011-01-24,16,1,70,0.16,Spring,1
2011-01-24,17,1,184,0.14,Spring,1
2011-01-24,18,1,153,0.14,Spring,1
2011-01-24,19,1,106,0.14,Spring,1
2011-01-24,20,1,81,0.14,Spring,1
2011-01-24,21,1,59,0.14,Spring,1
2011-01-24,22,1,35,0.14,Spring,1
2011-01-24,23,1,24,0.16,Spring,1
2011-01-25,0,1,9,0.16,Spring,2
2011-01-25,1,1,5,0.16,Spring,2
2011-01-25,2,1,2,0.16,Spring,2
2011-01-25,4,1,1,0.14,Spring,2
2011-01-25,5,1,9,0.14,Spring,2
2011-01-25,6,1,36,0.16,Spring,2
2011-01-25,7,1,108,0.16,Spring,2
2011-01-25,8,1,238,0.16,Spring,2
2011-01-25,9,1,144,0.2,Spring,2
2011-01-25,10,1,55,0.22,Spring,2
2011-01-25,11,1,61,0.24,Spring,2
2011-01-25,12,1,106,0.26,Spring,2
2011-01-25,13,1,93,0.26,Spring,2
2011-01-25,14,1,68,0.3,Spring,2
2011-01-25,15,1,84,0.32,Spring,2
2011-01-25,16,1,116,0.32,Spring,2
2011-01-25,17,1,222,0.3,Spring,2
2011-01-25,18,1,225,0.3,Spring,2
2011-01-25,19,1,146,0.26,Spring,2
2011-01-25,20,1,119,0.24,Spring,2
2011-01-25,21,1,45,0.24,Spring,2
2011-01-25,22,1,53,0.22,Spring,2
2011-01-25,23,1,40,0.22,Spring,2
2011-01-26,0,1,17,0.22,Spring,3
2011-01-26,1,1,5,0.24,Spring,3
2011-01-26,2,1,10,0.22,Spring,3
2011-01-26,5,1,1,0.2,Spring,3
2011-01-26,6,1,8,0.2,Spring,3
2011-01-26,7,1,30,0.22,Spring,3
2011-01-26,8,1,72,0.22,Spring,3
2011-01-26,9,1,58,0.22,Spring,3
2011-01-26,10,1,28,0.22,Spring,3
2011-01-26,11,1,41,0.22,Spring,3
2011-01-26,12,1,48,0.22,Spring,3
2011-01-26,13,1,47,0.22,Spring,3
2011-01-26,14,1,36,0.22,Spring,3
2011-01-26,15,1,43,0.22,Spring,3
2011-01-26,16,1,36,0.22,Spring,3
2011-01-26,17,1,26,0.2,Spring,3
2011-01-27,16,1,24,0.22,Spring,1
2011-01-27,17,1,84,0.22,Spring,1
2011-01-27,18,1,104,0.2,Spring,1
2011-01-27,19,1,79,0.2,Spring,1
2011-01-27,20,1,59,0.18,Spring,1
2011-01-27,21,1,38,0.18,Spring,1
2011-01-27,22,1,27,0.18,Spring,1
2011-01-27,23,1,16,0.18,Spring,1
2011-01-28,0,1,9,0.2,Spring,2
2011-01-28,1,1,3,0.2,Spring,2
2011-01-28,2,1,2,0.2,Spring,2
2011-01-28,3,1,1,0.2,Spring,2
2011-01-28,5,1,4,0.18,Spring,2
2011-01-28,6,1,16,0.18,Spring,2
2011-01-28,7,1,60,0.16,Spring,2
2011-01-28,8,1,157,0.16,Spring,2
2011-01-28,9,1,101,0.18,Spring,2
2011-01-28,10,1,49,0.18,Spring,2
2011-01-28,11,1,30,0.18,Spring,2
